statename,rank,hs6,val2013,val2014,val2015,val2016,valAll
Alabama,0,0,18940.76,22241.8,21897.2,22132.1,85211.86
Alabama,0,25,6591.53,10105.95,10337.65,10569.21,37604.34
Alabama,1,270900,346.48,2645.55,1816.26,1895.71,6704
Alabama,2,870829,597.59,824.89,1158.52,1053.55,3634.55
Alabama,3,840734,641.58,878.81,944.31,855.84,3320.54
Alabama,4,870899,594.53,774.69,652.83,696.97,2719.02
Alabama,5,940190,447.8,538.95,579.37,689.53,2255.65
Alabama,6,870840,334.19,455.04,612.59,564.32,1966.14
Alabama,7,870894,359.13,418.96,443.81,479.14,1701.04
Alabama,8,840820,402.99,395.89,453.41,427.26,1679.55
Alabama,9,870880,304.39,321.08,345.49,356.01,1326.97
Alabama,10,870830,298.54,344.36,383.02,352.33,1378.25
Alabama,11,880330,88.79,109.88,103.35,338.06,640.08
Alabama,12,852721,167.25,237.18,280.43,315.65,1000.51
Alabama,13,840991,465.67,511.38,420.58,298.66,1696.29
Alabama,14,854430,147.12,143.72,242.59,229.62,763.05
Alabama,15,271019,24.82,24.62,183.26,228.91,461.61
Alabama,16,848180,206.39,200.48,194.63,199.39,800.89
Alabama,17,870870,209.77,232.16,218.28,193.76,853.97
Alabama,18,853710,170.42,188.22,227.54,192.11,778.29
Alabama,19,760120,43.78,67.47,133.55,187.76,432.56
Alabama,20,851150,102.73,92.99,155.36,181.77,532.85
Alabama,21,830230,166.77,174.19,191.39,179.58,711.93
Alabama,22,870850,82.15,185.85,138.4,174.97,581.37
Alabama,23,851140,62.63,54.38,135.72,162.68,415.41
Alabama,24,854370,194.06,176.22,173.63,160.82,704.73
Alabama,25,903289,131.97,109.01,149.32,154.79,545.09
Alaska,0,0,1480.64,2015.58,2493.68,2094.15,8084.05
Alaska,0,25,854.6,1424.47,1460.81,1610.89,5350.77
Alaska,1,271019,526.08,691.82,702.94,462.68,2383.52
Alaska,2,851762,1.9,21.93,34.52,237.04,295.39
Alaska,3,851770,0.82,4.33,8.57,170.4,184.12
Alaska,4,260300,66.24,87.8,74.14,145.18,373.36
Alaska,5,847130,92.59,96.61,83.01,109.48,381.69
Alaska,6,847150,0.56,20.69,72.44,74.22,167.91
Alaska,7,270900,0,310.15,33.26,69.03,412.44
Alaska,8,271012,107.92,93.83,63.62,58.61,323.98
Alaska,9,852351,0.03,8.61,275.36,38.14,322.14
Alaska,10,854231,7.31,9.67,13,34.17,64.15
Alaska,11,854239,1.21,3.91,5.16,31.03,41.31
Alaska,12,854470,0.06,0.13,0.08,27.11,27.38
Alaska,13,854140,1.42,1.35,12.89,20.16,35.82
Alaska,14,851712,2.39,0.33,0.57,18.05,21.34
Alaska,15,252329,4.88,5.89,5.98,18.01,34.76
Alaska,16,730429,7.21,21.34,17.41,16.94,62.9
Alaska,17,847330,0.18,3.28,18.92,12.42,34.8
Alaska,18,841121,8.71,11.51,3.23,11.17,34.62
Alaska,19,903040,0.09,0.09,0.16,9.76,10.1
Alaska,20,283325,14.1,18.66,15.16,9.72,57.64
Alaska,21,711311,0.46,0.47,0.58,8.72,10.23
Alaska,22,854129,0.82,1,1.8,8.01,11.63
Alaska,23,290511,3.66,5.62,12.17,7.06,28.51
Alaska,24,848180,5.67,5.43,5.79,7.03,23.92
Alaska,25,853120,0.29,0.03,0.03,6.74,7.09
Arizona,0,0,19024,19743.57,19748.97,19654.49,78171.03
Arizona,0,25,7531.84,7792.64,7198.28,7341.63,29864.39
Arizona,1,70200,592.44,522.93,481.89,571.33,2168.59
Arizona,2,880240,283.2,839.54,928.95,559.96,2611.65
Arizona,3,70960,439.09,461.78,363.92,472.63,1737.42
Arizona,4,854140,516.54,264.88,338.88,401.28,1521.58
Arizona,5,854430,346.2,400.1,418.69,352.23,1517.22
Arizona,6,851762,283.91,216.12,239.65,346.04,1085.72
Arizona,7,853669,256.62,290.43,276.35,336.71,1160.11
Arizona,8,854239,377.37,255.2,325.45,319.16,1277.18
Arizona,9,854231,833.33,898.14,360.44,315.35,2407.26
Arizona,10,841191,300.29,342.73,410.32,309.82,1363.16
Arizona,11,848620,639.89,462.48,191.8,295.41,1589.58
Arizona,12,841199,294.09,309.41,309.94,294.82,1208.26
Arizona,13,853890,198.46,254.74,255.29,286.63,995.12
Arizona,14,848690,297.95,221.25,267.23,277.74,1064.17
Arizona,15,70993,244.38,246.23,224.14,267.59,982.34
Arizona,16,842890,234.9,255.23,265.79,265.62,1021.54
Arizona,17,70700,259.18,270.65,239.23,233.15,1002.21
Arizona,18,740311,359.35,312.78,278.79,221.98,1172.9
Arizona,19,870829,174.02,180.57,200.82,204.65,760.06
Arizona,20,850440,139.67,160.91,206.79,193.14,700.51
Arizona,21,80711,194.57,186.84,196.06,186.77,764.24
Arizona,22,630790,120.4,180.99,202.35,164.39,668.13
Arizona,23,930690,107.65,138.52,102.47,163.56,512.2
Arizona,24,880390,7.76,65.12,27.58,152.24,252.7
Arizona,25,850300,30.55,55.07,85.44,149.43,320.49
Arkansas,0,0,7621.33,7609.69,7911.12,7828.87,30971.01
Arkansas,0,25,3153.44,3151.82,3127.84,3051.35,12484.45
Arkansas,1,880240,856.2,579.25,691.7,686.5,2813.65
Arkansas,2,880230,960.1,1004.7,932.5,653.9,3551.2
Arkansas,3,950300,244.14,274.58,262.32,389.19,1170.23
Arkansas,4,848180,46.25,108.22,98.68,91.2,344.35
Arkansas,5,847130,132.39,125.06,64.09,82.07,403.61
